Date,Close/Last,Volume,Open,High,Low
11/30/2020,$87.72,32417740,$88.7825,$89.0168,$87.392
11/27/2020,$89.351,14790140,$88.227,$89.8505,$88.227
11/25/2020,$88.2065,19599140,$88.3905,$88.519,$87.418
11/24/2020,$88.195,28006120,$86.375,$88.3238,$86.0365
11/23/2020,$86.378,22552360,$87.011,$87.2995,$85.509
11/20/2020,$86.819,27706440,$88.10,$88.4181,$86.75
11/19/2020,$87.9285,20106800,$86.6615,$88.1745,$86.501
11/18/2020,$87.032,20107540,$87.832,$88.25,$86.9283
11/17/2020,$88.083,21320680,$88.393,$88.857,$87.9745
11/16/2020,$88.7015,25467860,$88.207,$89.717,$88.0665
11/13/2020,$88.613,29757540,$87.40,$88.8565,$86.799
11/12/2020,$87.141,26487260,$87.10,$88.249,$86.8985
11/11/2020,$87.3615,31838120,$87.42,$88.145,$87.153
11/10/2020,$86.886,43021160,$86.4885,$87.969,$85.806
11/09/2020,$88.071,53440480,$89.799,$90.8445,$87.8773
11/06/2020,$87.9865,28621680,$87.567,$88.4248,$86.834
11/05/2020,$88.125,39758140,$88.5225,$89.5909,$87.0515
11/04/2020,$87.2925,71342980,$85.279,$88.5015,$85.15
11/03/2020,$82.283,31432820,$81.538,$82.95,$80.6054
11/02/2020,$81.216,44228980,$81.177,$82.912,$80.712
10/30/2020,$80.8055,99923940,$83.372,$84.0658,$80.0785
10/29/2020,$77.844,55406860,$75.851,$79.4368,$75.8275
10/28/2020,$75.54,45173500,$77.5005,$77.6905,$75.424
